5S_rRNA	RF00001	5S ribosomal RNA
Rev41	RF02739	Soft rot Enterobacteriaceae Rev 41 sRNA
Fwd6_3p_UTR	RF02740	Soft rot Enterobacteriaceae Fwd 6 3'UTR
Rev44	RF02741	Soft rot Enterobacteriaceae Rev 44 asRNA
Rev72	RF02742	Soft rot Enterobacteriaceae Rev 72 asRNA
Sernc389	RF02743	Saccharopolyspora sRNA 389
Rev39_5p_UTR	RF02744	Soft rot Enterobacteriaceae Rev 39 5'UTR
Rev42_5p_UTR	RF02745	Soft rot Enterobacteriaceae Rev 42 5'UTR
AsrC	RF02746	antisense RNA of rseC mRNA
FtrA	RF02747	Francisella sRNA A
FtrB	RF02748	Francisella sRNA B
Ncrwmel02	RF02749	Wolbachia sRNA mel02
ES003	RF02750	ES003 sRNA
ES036	RF02751	ES036 (CssrF) sRNA
ES056	RF02752	ES056 sRNA
ES173	RF02753	ES173 sRNA
ES205	RF02754	ES205 sRNA
ES222	RF02755	ES222 sRNA
ES239	RF02756	ES239 sRNA
Erse	RF02757	Erse small RNA
RhlA_thermometer	RF02758	RhlA 5' UTR ROSE like thermometer
LasI_thermometer	RF02759	LasI 5' UTR ROSE like thermometer
sR035	RF02760	sR035 sRNA
sR084	RF02761	sR084 sRNA
C1_109596F_thermometer	RF02762	C1_109596F  5' UTR thermometer
IsrM	RF02763	IsrM sRNA
Ysr190	RF02764	Yersinia sRNA 190
Ysr209	RF02765	Yersinia sRNA 209
Ysr49	RF02766	Yersinia sRNA 49
Ysr186_sR026_CsrC	RF02767	Yersinia sRNA 186/sR026/CsrC
Ysr155(RyfD)	RF02768	Yersinia sRNA 155(RyfD)
Ysr202	RF02769	Yersinia sRNA 202
Ysr224	RF02770	Yersinia sRNA 224
CnfY_thermometer	RF02771	CnfY 5' UTR thermometer
AilA_thermometer	RF02772	AilA 5' UTR thermometer
TrxA_thermometer	RF02773	TrxA 5' UTR thermometer
KatA_thermometer	RF02774	KatA 5' UTR thermometer
SodB_thermometer	RF02775	SodB 5' UTR thermometer
SodC_thermometer	RF02776	SodC 5' UTR thermometer
OppA_thermometer	RF02777	OppA 5' UTR thermometer
FdoG1_thermometer	RF02778	FdoG-1 5' UTR thermometer
PepN_thermometer	RF02779	PepN 5' UTR thermometer
PutA_thermometer	RF02780	PutA 5' UTR thermometer
ManX_thermometer	RF02781	ManX 5' UTR thermometer
CpoB_ybgF_thermometer	RF02782	CpoB/ybgF ICR thermometer
IscS1_thermometer	RF02783	IscS-1 ICR thermometer
SorX	RF02784	Singlet oxygen resistance RNA X
snoRNA2	RF02785	Trypanosomatid small nucleolar RNA 2
snoTBR2	RF02786	Small nucleolar RNA TBR2
snoTBR4	RF02787	Small nucleolar RNA TBR4
snoTBR6	RF02788	Small nucleolar RNA TBR6
snoTBR12	RF02789	Small nucleolar RNA TBR12
sodF_sRNA	RF02790	sodF sRNA
CcsR1	RF02791	Conserved CCUCCUCCC motif stress-induced RNA 1
sRNA162	RF02792	Archaeal Small RNA 162
asR3	RF02793	Pyrobaculum asRNA3
Pab19	RF02794	Pab19 RNA
Pab91	RF02795	Pab91 RNA
Pab160	RF02796	Pab160 RNA
PssrA	RF02797	Plasmid-encoded Shigella sRNA A
CssrA	RF02798	Chromosome-encoded Shigella sRNA A
CssrB	RF02799	Chromosome-encoded Shigella sRNA B
Rp_sR47	RF02800	Rickettsia sRNA47
PyrR201	RF02801	Pyrobaculum sRNA 201
PyrR204	RF02802	Pyrobaculum sRNA 204
PyrR205	RF02803	Pyrobaculum sRNA 205
PyrR206	RF02804	Pyrobaculum sRNA 206
PyrR207	RF02805	Pyrobaculum sRNA 207
PyrR208	RF02806	Pyrobaculum sRNA 208
PyrR209	RF02807	Pyrobaculum sRNA 209
PyrR210	RF02808	Pyrobaculum sRNA 210
RsmW	RF02809	RsmW RNA family
Lst_thermometer	RF02810	Lst 5' UTR thermometer
FHbp_thermometer	RF02811	FHbp 5' UTR thermometer
asponA	RF02812	anti ponA RNA
PA5194_thermometer	RF02813	Pseudomonas PA5194 thermometer
Sso133	RF02814	Sulfolobus sRNA133
Lig_thermometer	RF02815	Lig 5' UTR thermometer
HBV_PRE_1151-1410	RF02816	Hepatitis B virus post-transcriptional regulatory element 1151-1410
V_AS5	RF02818	Vibrio RNA AS5
V_AS7	RF02819	Vibrio RNA AS7
V_AS9	RF02820	Vibrio RNA AS9
V_IGR5	RF02821	Vibrio RNA IGR5
Srn266	RF02822	Streptococcus RNA 266
LPR69	RF02823	Legionella RNA 69
LPR10	RF02824	Legionella RNA 10
LPR17	RF02825	Legionella RNA 17
Scr6925	RF02826	Streptomyces RNA 6925
Scr6106	RF02827	Streptomyces RNA 6106
Scr3920	RF02828	Streptomyces RNA 3920
Scr4115	RF02829	Streptomyces RNA 4115
Scr1601	RF02830	Streptomyces RNA 1601
Scr2736	RF02831	Streptomyces RNA 2736
Scr5676	RF02832	Streptomyces RNA 5676
Scr3202	RF02833	Streptomyces RNA 3202
VqmR	RF02834	Vibrio RNA VqmR
Bcj11	RF02835	Burkholderia RNA 11
Bcj14	RF02836	Burkholderia RNA 14
Bcj7	RF02837	Burkholderia RNA 7 (anti-hemB)
Ref55	RF02838	Enterococcus sRNA 55
Ref66	RF02839	Enterococcus sRNA 66
Ref68	RF02840	Enterococcus sRNA 68 (Lacto-3 RNA)
Ref70	RF02841	Enterococcus sRNA 70
RefA1	RF02842	Enterococcus sRNA A1
RefA5	RF02843	Enterococcus sRNA A5
RefA9	RF02844	Enterococcus sRNA A9
Ref1C	RF02845	Enterococcus sRNA 1C
Ref84	RF02846	Enterococcus sRNA 84
Ref64	RF02847	Enterococcus sRNA 64
RefB11	RF02848	Enterococcus sRNA B11
Ysr197	RF02849	Yersinia sRNA 197
Ysr276	RF02850	Yersinia sRNA 276
Ysr283	RF02851	Yersinia sRNA 283
Ysr206	RF02852	Yersinia sRNA 206
Ysr201	RF02853	Yersinia sRNA 201
Ysr100	RF02854	Yersinia sRNA 100
Ysr251	RF02855	Yersinia sRNA 251
30_292	RF02856	Leptospira sRNA 30_292
30_255	RF02857	Leptospira sRNA 30_255
Arrc08	RF02858	Actinobacillus sRNA 08
Arrc11	RF02859	Actinobacillus sRNA 11
Arrc14	RF02860	Actinobacillus sRNA 14
IR_84	RF02861	Neisseria sRNA 84
sRNA_1300	RF02862	Enterococcus sRNA 1300
sRNA_2410	RF02863	Enterococcus sRNA 2410
sRNA_0030	RF02864	Enterococcus sRNA 30
ncS01	RF02865	Burkholderia sRNA 1
ncS16	RF02866	Burkholderia sRNA 16 (Bc_KC_sr1)
ncS011	RF02867	Burkholderia sRNA 11
ncS037	RF02868	Burkholderia sRNA 37
ncS025	RF02869	Burkholderia sRNA 25
ncS035	RF02870	Burkholderia sRNA 35
ncS54	RF02871	Burkholderia sRNA 54
SrbA	RF02872	sRNA regulator of biofilms A
AS-traI	RF02873	Antisense to traI
AS-traG	RF02874	Antisense to traG
AS-pc01	RF02875	Antisense to pHK01_035
AS-pc02	RF02876	Antisense to pHK01_099
NmsRb	RF02877	Neisseria metabolic switch regulator b (RcoF1/NgncR163)
MH_s7	RF02878	Mesorhizobail RNA 7
MH_s10	RF02879	Mesorhizobail RNA 10
MH_s15	RF02880	Mesorhizobail RNA 15
MH_s25	RF02881	Mesorhizobail RNA 25
MH_s36	RF02882	Mesorhizobail RNA 36
BcKCsr2	RF02883	Burkholderia sRNA 2
BcKCsr7	RF02884	Burkholderia sRNA 7
SAM_VI	RF02885	SAM-VI riboswitch
npcTB_6715	RF02886	Mycobacterium sRNA 6715
mgtC_leader	RF02887	Salmonella mgtC leader RNA
BtsR1	RF02888	Bacillus sRNA 1
Sr006	RF02889	Pseudomonas sRNA 6
SprC	RF02890	Small pathogenicity island RNA C (srn_3610)
AgrB	RF02891	ArsR-gov region gene B
SR6_antitoxin	RF02892	Bacillus SR6 antitoxin
RpsF_leader	RF02893	RpsF leader
S35	RF02894	Staphylococcus sRNA 35 (srn_0335)
S414	RF02895	Staphylococcus sRNA 414
S774	RF02896	Staphylococcus sRNA 774
S808	RF02897	Staphylococcus sRNA 808
AaHKsRNA20	RF02898	Aggregatibacter sRNA 20
AaHKsRNA54	RF02899	Aggregatibacter sRNA 54
AaHKsRNA82	RF02900	Aggregatibacter sRNA 82
AaHKsRNA41	RF02901	Aggregatibacter sRNA 41
AaHKsRNA22	RF02902	Aggregatibacter sRNA 22
AaHKsRNA96	RF02903	Aggregatibacter sRNA 96
AaHKsRNA69	RF02904	Aggregatibacter sRNA 69
sRNA41	RF02905	Archaeal Small RNA 41
sRNA154	RF02906	Archaeal Small RNA 154
patAB	RF02907	patAB leader
rli30	RF02908	Listeria sRNA rli30
rli117	RF02909	Listeria sRNA rli117
Coronavirus_5p_sl_1_2	RF02910	Coronavirus 5' stem-loops 1-2
Baculoviridae_NAE	RF02911	Baculoviridae Nucleocapsid Assembly essential Element
AAC_AAD_leader	RF02912	AAC AAD 5' leader riboswitch
pemK	RF02913	pemK RNA
DUF805b	RF02914	DUF805b RNA
DUF3800-VI	RF02915	DUF3800-VI RNA
atpB	RF02916	atpB RNA
Burkholderiales-2	RF02917	Burkholderiales-2 RNA
MDR-NUDIX	RF02918	MDR-NUDIX RNA
ilvB-OMG	RF02919	ilvB-OMG RNA
Fusobacteriales-1	RF02920	Fusobacteriales-1 RNA
RT-14	RF02921	RT-14 RNA
RAGATH-32	RF02922	RAGATH-32 RNA
HTH-XRE	RF02923	HTH-XRE RNA
skipping-rope	RF02924	skipping-rope RNA
6A	RF02925	6A RNA
DUF2693-FD	RF02926	DUF2693-FD RNA
Actino-ugpB	RF02927	Actino-ugpB RNA
Actinomyces-1	RF02928	Actinomyces-1 RNA
algC	RF02929	algC RNA
aspS	RF02930	aspS RNA
Bacilli-1	RF02931	Bacilli-1 RNA
Betaproteobacteria-1	RF02932	Betaproteobacteria-1 RNA
ARRPOF	RF02933	ARRPOF RNA
caiA	RF02934	caiA RNA
che1	RF02935	che1 RNA
Chloroflexus-1	RF02936	Chloroflexus-1 RNA
Clostridiales-2	RF02937	Clostridiales-2 RNA
COG2827	RF02938	COG2827 RNA
COG2908	RF02939	COG2908 RNA
COG3860	RF02940	COG3860 RNA
COG3943	RF02941	COG3943 RNA
Clostridiales-3	RF02942	Clostridiales-3 RNA
Bacteroidales-2	RF02943	Bacteroidales-2 RNA
c4-2	RF02944	c4-2 RNA
Corio-PBP	RF02945	Corio-PBP RNA
cow-rumen-1	RF02946	cow-rumen-1 RNA
cow-rumen-2	RF02947	cow-rumen-2 RNA
cow-rumen-4	RF02948	cow-rumen-4 RNA
Cupriavidus-1	RF02949	Cupriavidus-1 RNA
D12-methyl	RF02950	D12-methyl RNA
DABA-DC-AT	RF02951	DABA-DC-AT RNA
dfrA-dnaX	RF02952	dfrA-dnaX RNA
DUF1874	RF02953	DUF1874 RNA
DUF3577	RF02954	DUF3577 RNA
EGFOA	RF02955	EGFOA RNA
DUF2693	RF02956	DUF2693 RNA
EFASI	RF02957	EFASI RNA
drum	RF02958	drum RNA
DUF3085	RF02959	DUF3085 RNA
DUF2800	RF02960	DUF2800 RNA
DUF3800-II	RF02961	DUF3800-II RNA
DUF3800-III	RF02962	DUF3800-III RNA
DUF3800-IV	RF02963	DUF3800-IV RNA
DUF3800-V	RF02964	DUF3800-V RNA
CyVA-1	RF02965	CyVA-1 RNA
DUF3268	RF02966	DUF3268 RNA
DUF3800-VII	RF02967	DUF3800-VII RNA
DUF3800-IX	RF02968	DUF3800-IX RNA
DUF3800-I	RF02969	DUF3800-I RNA
EGFOA-assoc-1	RF02970	EGFOA-assoc-1 RNA
emrB-Lactobacillus	RF02971	emrB-Lactobacillus RNA
engA	RF02972	engA RNA
Enterococcus-1	RF02973	Enterococcus-1 RNA
Fibro-purF	RF02974	Fibro-purF RNA
DUF3800-XI	RF02975	DUF3800-XI RNA
Flavobacterium-1	RF02976	Flavobacterium-1 RNA
folE	RF02977	folE RNA
folP	RF02978	folP RNA
freshwater-1	RF02979	freshwater-1 RNA
freshwater-2	RF02980	freshwater-2 RNA
FTHFS	RF02981	FTHFS RNA
gltS	RF02982	gltS RNA
Fibrobacter-1	RF02983	Fibrobacter-1 RNA
DUF3800-X	RF02984	DUF3800-X RNA
ftsZ-DE	RF02985	ftsZ-DE RNA
FuFi-1	RF02986	FuFi-1 RNA
GA-cis	RF02987	GA-cis RNA
GEBRO	RF02988	GEBRO RNA
gntR-DTE	RF02989	gntR-DTE RNA
gut-2	RF02990	gut-2 RNA
GP20-a	RF02991	GP20-a RNA
hya	RF02992	hya RNA
ilvH	RF02993	ilvH RNA
IMPDH	RF02994	IMPDH RNA
IMES-5	RF02995	IMES-5 RNA
int-alpA	RF02996	int-alpA RNA
HOLDH	RF02997	HOLDH RNA
IS605-orfB-II	RF02998	IS605-orfB-II RNA
ivy-DE	RF02999	ivy-DE RNA
LOOT	RF03000	LOOT RNA
leuA-Halobacteria	RF03001	leuA-Halobacteria RNA
lysM-Prevotella	RF03002	lysM-Prevotella RNA
GP20-b	RF03003	GP20-b RNA
Lacto-phage-1	RF03004	Lacto-phage-1 RNA
lysM-TM7	RF03005	lysM-TM7 RNA
M23	RF03006	M23 RNA
Mahella-1	RF03007	Mahella-1 RNA
malK-II	RF03008	malK-II RNA
malK-III	RF03009	malK-III RNA
mcrA	RF03010	mcrA RNA
Methylophilales-1	RF03011	Methylophilales-1 RNA
Mu-gpT-DE	RF03012	Mu-gpT-DE RNA
nadA	RF03013	nadA RNA
Transposase-1	RF03014	Transposase-1 RNA
Transposase-2	RF03015	Transposase-2 RNA
RT-12	RF03016	RT-12 RNA
RT-13	RF03017	RT-13 RNA
RT-15	RF03018	RT-15 RNA
RT-16	RF03019	RT-16 RNA
RT-17	RF03020	RT-17 RNA
RT-18	RF03021	RT-18 RNA
RT-10	RF03022	RT-10 RNA
rpfG	RF03023	rpfG RNA
Rothia-sucC	RF03024	Rothia-sucC RNA
RT-4	RF03025	RT-4 RNA
RT-5	RF03026	RT-5 RNA
RT-6	RF03027	RT-6 RNA
RT-7	RF03028	RT-7 RNA
RT-8	RF03029	RT-8 RNA
salivarius-1	RF03030	salivarius-1 RNA
ssnA	RF03031	ssnA RNA
narK	RF03032	narK RNA
NLPC-P60	RF03033	NLPC-P60 RNA
nrdJ	RF03034	nrdJ RNA
nqrA-Marinomonas	RF03035	nqrA-Marinomonas RNA
osmY	RF03036	osmY RNA
PAGEV	RF03037	PAGEV RNA
nhaA-II	RF03038	nhaA-II RNA
Peptidase-S11	RF03039	Peptidase-S11 RNA
PGK	RF03040	PGK RNA
poplar-1	RF03041	poplar-1 RNA
porB	RF03042	porB RNA
Prevotella-2	RF03043	Prevotella-2 RNA
Proteo-phage-1	RF03044	Proteo-phage-1 RNA
proV	RF03045	proV RNA
Pseudomonadales-1	RF03046	Pseudomonadales-1 RNA
RAGATH-16	RF03047	RAGATH-16 RNA
RAGATH-20	RF03048	RAGATH-20 RNA
RAGATH-24	RF03049	RAGATH-24 RNA
RAGATH-25	RF03050	RAGATH-25 RNA
RAGATH-26	RF03051	RAGATH-26 RNA
RAGATH-28	RF03052	RAGATH-28 RNA
OTKONC	RF03053	OTKONC RNA
NMT1	RF03054	NMT1 RNA
RAGATH-30	RF03055	RAGATH-30 RNA
RAGATH-35	RF03056	RAGATH-35 RNA
nhaA-I	RF03057	nhaA-I RNA
sul1	RF03058	sul1 RNA
raiA-hairpin	RF03059	raiA-hairpin RNA
uup	RF03060	uup RNA
uxuA	RF03061	uxuA RNA
xerDC	RF03062	xerDC RNA
Streptomyces-metK	RF03063	Streptomyces-metK RNA
RAGATH-18	RF03064	RAGATH-18 RNA
IS605-orfB-I	RF03065	IS605-orfB-I RNA
COG3610-DE	RF03066	COG3610-DE RNA
terC	RF03067	terC RNA
RT-3	RF03068	RT-3 RNA
malK-I	RF03069	malK-I RNA
ssNA-helicase	RF03070	ssNA-helicase RNA
DUF1646	RF03071	DUF1646 RNA
raiA	RF03072	raiA RNA
RT-19	RF03073	RT-19 RNA
Rhodo-rpoB	RF03074	Rhodo-rpoB RNA
DUF3800-VIII	RF03075	DUF3800-VIII RNA
Streptomyces-metH	RF03076	Streptomyces-metH RNA
RT-2	RF03077	RT-2 RNA
chrB-a	RF03078	chrB-a RNA
MISL	RF03079	MISL RNA
RT-9	RF03080	RT-9 RNA
DUF805	RF03081	DUF805 RNA
dinG	RF03082	dinG RNA
cow-rumen-3	RF03083	cow-rumen-3 RNA
DUF2815	RF03084	DUF2815 RNA
abiF	RF03085	abiF RNA
chrB-b	RF03086	chrB-b RNA
ROOL	RF03087	ROOL RNA
Parabacteroides-1	RF03088	Parabacteroides-1 RNA
cold-seep-1	RF03089	cold-seep-1 RNA
lysM-Actino	RF03090	lysM-Actino RNA
Clostridium-PBP	RF03091	Clostridium-PBP RNA
Ocean-VII	RF03092	Ocean-VII RNA
queA	RF03093	queA RNA
LAGLIDADG-2	RF03094	LAGLIDADG-2 RNA
RAGATH-17	RF03095	RAGATH-17 RNA
RAGATH-19	RF03096	RAGATH-19 RNA
RAGATH-21	RF03097	RAGATH-21 RNA
RAGATH-22	RF03098	RAGATH-22 RNA
RAGATH-23	RF03099	RAGATH-23 RNA
RAGATH-27	RF03100	RAGATH-27 RNA
RAGATH-31	RF03101	RAGATH-31 RNA
RAGATH-33	RF03102	RAGATH-33 RNA
RAGATH-34	RF03103	RAGATH-34 RNA
RAGATH-36	RF03104	RAGATH-36 RNA
RAGATH-7-assoc	RF03105	RAGATH-7-assoc RNA
RT-11	RF03106	RT-11 RNA
saliva-tongue-1	RF03107	saliva-tongue-1 RNA
Methylosinus-1	RF03108	Methylosinus-1 RNA
Thermales-rpoB	RF03109	Thermales-rpoB RNA
throat-1	RF03110	throat-1 RNA
Zeta-pan	RF03111	Zeta-pan RNA
Staphylococcus-1	RF03112	Staphylococcus-1 RNA
Poribacteria-1	RF03113	Poribacteria-1 RNA
RT-1	RF03114	RT-1 RNA
KDPG-aldolase	RF03115	KDPG-aldolase RNA
